,岗位名称,公司名称,城市,地点,薪资,基本要求,公司状况,岗位技能,公司福利
1019,高级数据分析师,广发证券,广州,[跑马场],25k-45k,25k-45k 经验3-5年 / 本科,金融 / 上市公司 / 2000人以上,大数据 Hive MySQL Oracle SQLServer,"“季度奖,年终奖,牛人多,环境好”"
1020,数据分析工程师,骑鹅旅行,广州,[客村],10k-20k,10k-20k 经验不限 / 本科,"旅游,数据服务 / A轮 / 50-150人",大数据 数据挖掘,"“十五天年假,技术大牛,国际化团队,扁平化管理”"
1021,商业数据分析师(011965),屈臣氏中国,广州,[越秀区],10k-15k,10k-15k 经验3-5年 / 本科,消费生活 / 不需要融资 / 2000人以上,新零售 商业 数据分析 数据运营 数据库,"“发展空间大,工作氛围好,精英团队”"
1022,经营数据分析,Tec-Do,广州,[五山],8k-12k,8k-12k 经验1-3年 / 本科,"移动互联网,广告营销 / A轮 / 150-500人",移动互联网 广告营销 分析 成本,"“五险一金,年底双薪,绩效奖金,氛围好”"
1023,高级数据分析师 (MJ000105),欢聚时代（YY Inc）,广州,[番禺区],20k-30k,20k-30k 经验不限 / 本科,文娱丨内容 / 上市公司 / 2000人以上,移动互联网 数据分析,“上市公司、年度旅游”
1024,高级数据分析工程师 (MJ000131),荔枝,广州,[棠下],17k-34k,17k-34k 经验不限 / 本科,社交 / D轮及以上 / 500-2000人,Hive 数据分析,“技术大牛多 领导nice 薪酬福利好”
1025,数据分析高级专员,维达纸业（中国）有限公司,广州,[员村],10k-15k,10k-15k 经验1-3年 / 本科,其他 / 上市公司 / 2000人以上,电商 大数据,“五险一金，带薪年假，节假日福利，双休”
1026,数据分析师,美的集团IT,广州,[番禺区],10k-20k,10k-20k 经验3-5年 / 本科,硬件 / 上市公司 / 2000人以上,商业 数据分析 数据运营 SPSS,"“五险一金,带薪休假,年度旅游,餐费补贴”"
1027,游戏数据分析师,深海游戏,广州,[天河区],12k-18k,12k-18k 经验3-5年 / 本科,"游戏,移动互联网 / 未融资 / 150-500人",游戏 移动互联网 数据分析 SQL,"“五险一金,年终双薪,包三餐,全勤奖,双休”"
1028,高级数据分析专员,网易,广州,[天河区],15k-30k,15k-30k 经验3-5年 / 本科,电商 / 上市公司 / 2000人以上,数据分析,“大平台，成长空间大，福利体系完善”
1029,WXG01-111 微信数据分析师（广州）,腾讯,广州,[客村],15k-30k,15k-30k 经验1-3年 / 本科,社交 / 上市公司 / 2000人以上,数据分析,“微信”
1030,电力数据分析师,汇电云联,广州,[珠江新城],15k-22k,15k-22k 经验1-3年 / 本科,移动互联网 / A轮 / 50-150人,大数据 云计算,"“产品前景佳,技术要求高,晋升空间大”"
1031,数据分析师（培训方向）,广州泰迪科技,广州,[黄埔区],6k-12k,6k-12k 经验1-3年 / 本科,数据服务 / 未融资 / 50-150人,大数据 数据分析,"“大数据,数据挖掘,双薪,股权”"
1032,游戏数据分析师,4399游戏,广州,[石牌],8k-15k,8k-15k 经验不限 / 本科,游戏 / 未融资 / 500-2000人,游戏 数据分析,"“五险一金,餐饮补贴,专业培训,年终奖金”"
1033,数据分析师 （初级）,广东智源,广州,[越秀区],4k-6k,4k-6k 经验1年以下 / 本科,"移动互联网,企业服务 / 不需要融资 / 50-150人",大数据 数据挖掘 数据分析,"“五险一金,绩效奖金,下午茶,旅游”"
1034,数据分析员（大数据方向）,赛惟,广州,[天河区],6k-8k,6k-8k 经验不限 / 本科,企业服务 / 不需要融资 / 50-150人,大数据 数据分析,"“扁平管理,发展空间大,绩效奖金,技能培训”"
1035,数据分析师,广州 K11,广州,[天河区],12k-15k,12k-15k 经验3-5年 / 不限,其他 / 不需要融资 / 150-500人,大数据,"“精英团队,试用期全薪,工作氛围好,福利待”"
1036,数据分析师,柯内特,广州,[天河区],8k-13k,8k-13k 经验1-3年 / 本科,数据服务 / 不需要融资 / 50-150人,大数据 数据分析 数据挖掘,"“前沿技术,弹性工作”"
1037,数据分析高级顾问 - GZ/SZ,PWC,广州,[珠江新城],15k-20k,15k-20k 经验3-5年 / 本科,金融 / 不需要融资 / 2000人以上,数据分析 数据挖掘,“行业翘楚 精英相伴 卓越培训 探索创新”
1038,高级数据分析师 (MJ002164),欢聚时代（YY Inc）,广州,[番禺区],30k-42k,30k-42k 经验5-10年 / 不限,文娱丨内容 / 上市公司 / 2000人以上,移动互联网 数据分析,“公司大，平台广，福利多，设施配备全”
1039,大数据数据分析师,美的集团IT,广州,[番禺区],15k-25k,15k-25k 经验5-10年 / 本科,硬件 / 上市公司 / 2000人以上,数据挖掘,"“六险一金,餐补,节日福利,免费体检”"
1040,数据分析,麦锐电子,广州,[东风东],4k-6k,4k-6k 经验1-3年 / 大专,电商 / 未融资 / 15-50人,SPSS 数据运营,“发展上升期 项目多 福利待遇齐全”
1041,数据分析师,广州汇骏,广州,[天河区],6k-8k,6k-8k 经验应届毕业生 / 大专,金融 / 不需要融资 / 150-500人,互联网金融 投资/融资 行业研究 风控 分析师,“国际金融 技术分析 实习生 双休”
1042,游戏数据分析专员,益玩游戏,广州,[天河区],10k-20k,10k-20k 经验1-3年 / 大专,游戏 / B轮 / 150-500人,游戏 数据分析 数据运营,"“六险一金,员工旅游,包餐,成长快”"
1043,数据分析师（电商建模）,广州透真化妆品有限公司,广州,[白云区],10k-15k,10k-15k 经验3-5年 / 大专,电商 / 未融资 / 150-500人,电商 大数据 数据分析 数据运营 SQL 数据库,“大小周 社保 地铁旁边”
1044,数据分析员,广州文讯,广州,[珠江新城],4k-6k,4k-6k 经验1年以下 / 大专,"移动互联网,信息安全 / 不需要融资 / 50-150人",数据分析 SPSS,"“专业培训,弹性工作,五险一金,补充医疗保”"
1045,数据分析主管(J12918),G7,广州,[西门口],10k-15k,10k-15k 经验3-5年 / 本科,"移动互联网,数据服务 / C轮 / 500-2000人",数据分析 行业分析 营销策略,“团队融洽 福利健全 平台好”
1046,游戏数据分析师,帝释天,广州,[海珠区],15k-20k,15k-20k 经验3-5年 / 不限,"移动互联网,游戏 / A轮 / 50-150人",游戏 数据分析,"“五险一金,包两餐,年终奖金,旅游”"
1047,客户成功数据分析师（深圳）,HARB,广州,[岭南],8k-15k,8k-15k 经验3-5年 / 本科,企业服务 / B轮 / 50-150人,数据分析 数据库 SQL,"“福利好,工作氛围好,弹性工作,扁平管理”"
1048,数据分析师,德坤物流,广州,[太和],5k-6k,5k-6k 经验1-3年 / 大专,"企业服务,电商 / 未融资 / 500-2000人",物流,“五险 包吃住 晋升机制”
1049,数据分析师,DATALINK,广州,[天河区],5k-10k,5k-10k 经验3-5年 / 本科,"数据服务,移动互联网 / 不需要融资 / 15-50人",医疗健康 其他 数据分析 可视化,“大数据人工智能前沿知识培训”
1050,游戏数据分析师,网易,广州,[珠江新城],15k-20k,15k-20k 经验不限 / 本科,电商 / 上市公司 / 2000人以上,游戏 数据分析,“平台好 团队氛围好”
1051,推广与数据分析专员,青木科技,广州,[客村],4k-8k,4k-8k 经验不限 / 本科,电商 / 未融资 / 500-2000人,电商 推广 SEO 网店推广,"“五险一金,带薪年假,绩效奖金,年底双薪”"
1052,数据分析高级专家,广发银行信用卡中心,广州,[天河区],25k-40k,25k-40k 经验5-10年 / 本科,金融 / 不需要融资 / 2000人以上,银行 数据挖掘 数据分析,"“重点项目,金融科技”"
1053,数据分析工程师,同盾信研,广州,[珠江新城],15k-25k,15k-25k 经验5-10年 / 本科,"数据服务,人工智能 / 不需要融资 / 15-50人",大数据 数据分析 BI,“发展空间大，领导nice”
1054,数据分析师,广州汇骏,广州,[天河区],5k-8k,5k-8k 经验不限 / 本科,金融 / 不需要融资 / 150-500人,互联网金融 理财 分析师 行业研究 风控,“双休 高薪 弹性工作 盈利分红 国际金融”
1055,电信业务数据分析工程师,广东亿迅,广州,[海珠区],6k-10k,6k-10k 经验1-3年 / 本科,通讯电子 / 不需要融资 / 2000人以上,移动互联网 信息安全 数据分析,“五险一金 福利好 带薪年假”
1056,高级游戏数据分析师,3K游戏,广州,[棠下],15k-30k,15k-30k 经验不限 / 本科,"游戏,移动互联网 / 上市公司 / 150-500人",游戏 大数据,"“六险一金,包三餐,绩效奖金,海外旅游”"
1057,数据分析师,小黑屋,广州,[客村],8k-13k,8k-13k 经验1-3年 / 本科,移动互联网 / A轮 / 50-150人,Hive 数据分析 数据挖掘,“团队”
1058,爬虫工程师与数据分析师,头文科技,广州,[番禺区],7k-12k,7k-12k 经验3-5年 / 不限,"移动互联网,企业服务 / 不需要融资 / 50-150人",移动互联网 大数据 数据分析 数据挖掘,“成长空间大 内容营销风口”
1059,数据分析工程师,海汇铭康,广州,[五山],8k-15k,8k-15k 经验不限 / 本科,"移动互联网,医疗丨健康 / B轮 / 50-150人",本地生活 医疗健康 BI SQL 数据分析 数据库,"“弹性工作,优雅办公室”"
1060,数据分析主管,贝斯特教育,广州,[海珠区],10k-15k,10k-15k 经验1-3年 / 本科,教育 / 不需要融资 / 150-500人,教育 数据运营 数据分析 数据库,“五险一金、节日福利、生日礼金、员工聚餐”
1061,数据分析师,广州民间金融街征信公司,广州,[珠江新城],5k-7k,5k-7k 经验不限 / 大专,"移动互联网,金融 / 不需要融资 / 15-50人",大数据 企业服务 数据分析 数据库 数据运营,“初创公司，与公司共成长，创造无限可能！”
1062,数据分析专员,广州德久信息科技有限公司,广州,[天河北],5k-7k,5k-7k 经验1-3年 / 本科,"移动互联网,人工智能 / 未融资 / 50-150人",大数据 数据分析 数据运营 数据库,“云服务，语音服务”
1063,游戏数据分析师,蜃龙游戏,广州,[上社],10k-20k,10k-20k 经验1-3年 / 大专,游戏 / B轮 / 50-150人,游戏 数据分析 数据运营,“/朝9晚6/包餐/发展平台大/重点项目”
1064,数据分析专员,白马户外媒体,广州,[天河区],5k-8k,5k-8k 经验1-3年 / 本科,文娱丨内容 / 上市公司 / 500-2000人,广告营销 媒体 SQL 数据分析 商业,“五险一金、餐补、双休、带薪年假”
1065,数据分析员,三泰控股集团,广州,[冼村],4k-6k,4k-6k 经验应届毕业生 / 大专,金融 / 上市公司 / 2000人以上,数据分析 数据运营,"“五险一金,周末双休,做五休二,朝九晚六”"
1066,数据分析员,广东睿盟科技,广州,[车陂],4k-7k,4k-7k 经验1-3年 / 本科,"移动互联网,其他 / 不需要融资 / 50-150人",数据分析 SPSS,"“五险一金,员工旅游,定期体检,餐补”"
1067,数据分析师,信安数据,广州,[龙口],7k-10k,7k-10k 经验1-3年 / 本科,"信息安全,数据服务 / A轮 / 15-50人",数据分析 数据库 SQL,“五险一金，周末双休，弹性工作，年底双薪”
1068,BI数据分析师,触漫,广州,[海珠区],10k-14k,10k-14k 经验1-3年 / 本科,"移动互联网,文娱丨内容 / B轮 / 150-500人",SQLServer Hive 数据分析,"“周末双休,六险一金,年底双薪,年度旅行”"
1069,HR管培生-数据分析,广州棒谷科技股份有限公司,广州,[同德],5k-9k,5k-9k 经验应届毕业生 / 本科,电商 / 不需要融资 / 2000人以上,电商 SPSS BI 数据分析 数据运营,“晋升空间大、绩效奖金、五险一金”
1070,数据分析专员,伊羽霓贸易公司,广州,[白云大道],4k-8k,4k-8k 经验1-3年 / 大专,电商 / 未融资 / 15-50人,大数据 电商 数据分析 数据运营,“五险、餐补、培训、奖金”
1071,数据分析实习生（咨询部）,数鼎,广州,[天河区],2k-3k,2k-3k 经验应届毕业生 / 本科,"移动互联网,数据服务 / 天使轮 / 15-50人",弹性工作 扁平管理 领导好 年度旅游,"“公司氛围佳,朝阳行业,中午包餐”"
1072,BI数据分析,CLPS,广州,[五山],10k-15k,10k-15k 经验3-5年 / 本科,"数据服务,金融 / 未融资 / 500-2000人",互联网金融 保险 DB2 DBA ETL MySQL,“项目稳定 待遇优厚 外企氛围好”
1073,数据分析实习（2020届应届生）,天源迪科,广州,[岭南],2k-4k,2k-4k 经验应届毕业生 / 本科,"移动互联网,电商 / 上市公司 / 2000人以上",数据分析,“双休，成长空间大”
1074,金融数据分析师,广州汇骏,广州,[天河区],3k-5k,3k-5k 经验不限 / 大专,金融 / 不需要融资 / 150-500人,电商 外汇 理财顾问,“股票 金融 期货 销售 实习生 双休”
1075,电商业务数据分析主任/高文,谢瑞麟珠宝,广州,[岭南],7k-9k,7k-9k 经验1-3年 / 本科,电商 / 上市公司 / 2000人以上,电商运营,“五险一金 带薪年假 福利津贴”
1076,财务经理 （运营数据分析方向）,亚美,广州,[天河区],15k-25k,15k-25k 经验5-10年 / 本科,移动互联网 / 不需要融资 / 500-2000人,电商 财务 分析,“六险一金 年终奖 13薪 年度旅游”
1077,Python数据分析及机器学习讲师,传智播客,广州,[黄村],25k-45k,25k-45k 经验5-10年 / 本科,教育 / C轮 / 500-2000人,机器学习 人工智能 数据挖掘,“五险一金、餐补交补、节日福利、年度旅游”
1078,大数据分析工程师（广州）,美亚柏科,广州,[滨江],10k-20k,10k-20k 经验3-5年 / 不限,"信息安全,数据服务 / 上市公司 / 2000人以上",Java NLP,“五险一金 每年多次调薪”
1079,实习生（数据分析）,CheilPengTai,广州,[天河城],2k-3k,2k-3k 经验应届毕业生 / 本科,"移动互联网,广告营销 / 不需要融资 / 500-2000人",广告营销 运营,"“CBD,发展机会,待遇良好”"
1080,大数据分析经理 (MJ000466),锦江信息技术（广州）有限公司,广州,[东晓南],20k-30k,20k-30k 经验5-10年 / 本科,"移动互联网,旅游 / 不需要融资 / 500-2000人",大数据 电商 数据分析 数据运营,“六险一金 年度旅游 年度体检 带薪假期”
1081,数据库工程师（电力数据分析）,白云电气,广州,[太和],15k-22k,15k-22k 经验3-5年 / 本科,企业服务 / 不需要融资 / 2000人以上,MySQL 数据分析,“大数据平台”
1082,企业大数据分析专家,美的集团IT,广州,[番禺区],30k-40k,30k-40k 经验5-10年 / 本科,硬件 / 上市公司 / 2000人以上,移动互联网 大数据 市场分析 数据分析 产销协调,"“六险一金,餐补,节日福利,免费健身房”"
1083,工业大数据分析专家,美的集团IT,广州,[番禺区],30k-40k,30k-40k 经验5-10年 / 本科,硬件 / 上市公司 / 2000人以上,大数据 移动互联网 人工智能 建模 算法 数据挖掘,"“六险一金,餐补,节日福利,免费健身房”"
1084,蓝月亮营运专员(数据分析推动),蓝月亮,广州,[南岗],5k-8k,5k-8k 经验应届毕业生 / 本科,消费生活 / 不需要融资 / 2000人以上,数据分析,“发展前景大，成长快，包住宿，免费上下班车”
1085,市场研究员（数据分析师）,汉兴科技,广州,[番禺区],5k-9k,5k-9k 经验1-3年 / 本科,"移动互联网,企业服务 / 天使轮 / 少于15人",电商 新零售 数据分析 市场分析 市场竞争分析,"“优秀团队,氛围好,绩效奖金，住宿”"
1086,高级财务数据分析师,荔枝,广州,[棠下],20k-35k,20k-35k 经验3-5年 / 不限,社交 / D轮及以上 / 500-2000人,直播 视频 数据分析 数据库开发 数据挖掘,“技术大牛多 领导nice 薪酬福利好”
1087,大数据分析工程师,租租车,广州,[天河区],13k-22k,13k-22k 经验3-5年 / 本科,"旅游,消费生活 / C轮 / 500-2000人",ETL Hadoop,"“周末双休,海外旅游,带薪年假,年终奖金”"
1088,数据分析师,铭讫聚富,成都,[锦江区],8k-10k,8k-10k 经验不限 / 大专,电子商务 移动互联网 / 不需要融资 / 50-150人,移动互联网 数据分析 数据运营,“可做储备管理”
